Athlete_Name,Sport,Matches_Played,Performance_Score,Speed,Stamina,Fitness_Level,Injury_Count,Training_Hours,Age,Efficiency_Score,Consistency_Score
PV Sindhu,Badminton,287,72,77,70,85,4,15,33,4.8,77.33
PV Sindhu,Badminton,170,75,79,65,90,4,11,36,6.82,78.0
PV Sindhu,Badminton,248,76,72,68,76,5,19,37,4.0,72.0
Saina Nehwal,Badminton,284,74,79,75,75,3,16,25,4.62,76.33
Saina Nehwal,Badminton,292,88,77,94,94,3,13,26,6.77,88.33
Saina Nehwal,Badminton,213,82,91,86,72,1,12,26,6.83,83.0
Saina Nehwal,Badminton,184,80,66,73,81,0,13,30,6.15,73.33
Saina Nehwal,Badminton,146,90,72,81,89,1,11,27,8.18,80.67
Saina Nehwal,Badminton,120,89,80,88,89,0,18,32,4.94,85.67
Saina Nehwal,Badminton,99,74,82,75,83,5,10,29,7.4,80.0
Saina Nehwal,Badminton,172,88,90,82,76,5,10,33,8.8,82.67
Saina Nehwal,Badminton,66,79,66,76,81,4,14,29,5.64,74.33
Saina Nehwal,Badminton,138,94,85,91,83,2,15,26,6.27,86.33
Pullela Gopichand,Badminton,252,75,66,65,72,3,15,35,5.0,67.67
Pullela Gopichand,Badminton,194,87,74,72,80,1,19,26,4.58,75.33
Pullela Gopichand,Badminton,150,81,79,69,72,2,20,25,4.05,73.33
Pullela Gopichand,Badminton,113,84,74,84,72,5,17,29,4.94,76.67
Pullela Gopichand,Badminton,163,70,87,92,78,0,11,30,6.36,85.67
Pullela Gopichand,Badminton,165,70,76,75,95,0,17,37,4.12,82.0
Pullela Gopichand,Badminton,55,82,67,89,92,3,14,31,5.86,82.67
Pullela Gopichand,Badminton,265,86,65,81,78,2,13,24,6.62,74.67
Pullela Gopichand,Badminton,136,81,69,74,91,4,12,24,6.75,78.0
Pullela Gopichand,Badminton,261,87,91,91,87,0,17,36,5.12,89.67
Prakash Padukone,Badminton,84,95,76,78,76,0,12,24,7.92,76.67
Prakash Padukone,Badminton,108,76,78,87,75,3,17,30,4.47,80.0
Prakash Padukone,Badminton,65,72,70,66,94,4,11,31,6.55,76.67
Prakash Padukone,Badminton,263,80,74,73,93,5,10,37,8.0,80.0
Prakash Padukone,Badminton,75,85,65,85,71,1,19,22,4.47,73.67
Prakash Padukone,Badminton,274,73,82,69,75,4,14,34,5.21,75.33
Prakash Padukone,Badminton,293,91,84,70,85,5,17,36,5.35,79.67
Prakash Padukone,Badminton,156,93,81,75,79,3,13,38,7.15,78.33
Prakash Padukone,Badminton,101,95,84,91,75,1,12,31,7.92,83.33
Prakash Padukone,Badminton,128,93,68,85,88,3,15,22,6.2,80.33
Jwala Gutta,Badminton,294,76,92,65,78,1,11,25,6.91,78.33
Jwala Gutta,Badminton,214,81,70,88,71,5,19,30,4.26,76.33
Jwala Gutta,Badminton,121,92,73,85,95,3,17,35,5.41,84.33
Jwala Gutta,Badminton,202,71,77,86,81,4,20,27,3.55,81.33
Jwala Gutta,Badminton,253,79,81,72,90,3,16,24,4.94,81.0
Jwala Gutta,Badminton,204,88,95,80,85,4,15,28,5.87,86.67
Jwala Gutta,Badminton,208,94,81,85,76,5,17,25,5.53,80.67
Jwala Gutta,Badminton,238,77,88,68,70,5,12,22,6.42,75.33
Jwala Gutta,Badminton,253,93,79,95,90,0,20,36,4.65,88.0
Jwala Gutta,Badminton,205,91,95,85,92,2,20,31,4.55,90.67
Neeraj Chopra,Athletics,75,78,65,65,70,2,20,25,3.9,66.67
Neeraj Chopra,Athletics,58,79,95,66,90,3,17,37,4.65,83.67
Neeraj Chopra,Athletics,274,90,77,86,78,1,15,31,6.0,80.33
Neeraj Chopra,Athletics,289,82,95,91,75,4,11,33,7.45,87.0
Neeraj Chopra,Athletics,138,77,69,90,72,4,20,31,3.85,77.0
Neeraj Chopra,Athletics,280,70,71,89,76,1,15,23,4.67,78.67
Neeraj Chopra,Athletics,235,81,78,92,73,1,16,37,5.06,81.0
Neeraj Chopra,Athletics,260,95,83,84,77,4,10,26,9.5,81.33
Neeraj Chopra,Athletics,145,81,70,68,77,5,16,26,5.06,71.67
Neeraj Chopra,Athletics,146,70,90,77,73,1,13,37,5.38,80.0
Hima Das,Athletics,82,95,78,81,84,4,16,38,5.94,81.0
Hima Das,Athletics,279,74,71,83,74,0,14,31,5.29,76.0
Hima Das,Athletics,250,94,73,66,84,0,14,30,6.71,74.33
Hima Das,Athletics,207,83,95,72,94,2,20,33,4.15,87.0
Hima Das,Athletics,167,76,79,95,87,1,14,36,5.43,87.0
Hima Das,Athletics,273,91,66,91,94,3,15,27,6.07,83.67
Hima Das,Athletics,125,95,91,77,71,4,20,36,4.75,79.67
Hima Das,Athletics,235,71,66,66,89,0,13,26,5.46,73.67
Hima Das,Athletics,244,88,66,76,93,2,15,32,5.87,78.33
Hima Das,Athletics,89,85,89,85,93,4,15,30,5.67,89.0
Milkha Singh,Athletics,100,86,78,74,71,2,15,34,5.73,74.33
Milkha Singh,Athletics,253,93,73,78,72,1,12,32,7.75,74.33
Milkha Singh,Athletics,165,71,79,74,74,1,11,26,6.45,75.67
Milkha Singh,Athletics,267,94,83,74,72,1,12,27,7.83,76.33
Milkha Singh,Athletics,64,89,75,67,74,2,19,23,4.68,72.0
Milkha Singh,Athletics,266,83,69,92,74,3,20,38,4.15,78.33
Milkha Singh,Athletics,86,83,95,89,83,4,10,24,8.3,89.0
Milkha Singh,Athletics,156,75,73,79,95,0,16,22,4.69,82.33
Milkha Singh,Athletics,242,78,84,65,79,1,17,28,4.59,76.0
Milkha Singh,Athletics,222,91,84,68,72,0,13,34,7.0,74.67
PT Usha,Athletics,98,85,70,68,93,1,15,25,5.67,77.0
PT Usha,Athletics,191,87,72,72,79,0,11,26,7.91,74.33
PT Usha,Athletics,214,91,89,89,77,2,10,35,9.1,85.0
PT Usha,Athletics,101,75,92,65,88,3,16,25,4.69,81.67
PT Usha,Athletics,281,87,68,82,75,0,19,28,4.58,75.0
PT Usha,Athletics,287,77,72,88,82,2,10,35,7.7,80.67
PT Usha,Athletics,123,79,85,65,94,4,20,32,3.95,81.33
PT Usha,Athletics,52,75,95,75,87,0,16,31,4.69,85.67
PT Usha,Athletics,205,95,65,68,79,3,13,23,7.31,70.67
PT Usha,Athletics,101,87,78,91,95,0,16,38,5.44,88.0
